order_id,customer_id,product_id,quantity,order_date,status
1,120,39,4,2026-03-11,completed
2,185,44,1,2026-06-05,completed
3,165,50,3,2026-05-27,completed
4,117,11,4,2026-01-23,completed
5,46,49,5,2026-01-07,completed
6,130,41,3,2025-10-19,completed
7,42,49,3,2025-11-12,completed
8,83,39,1,2026-05-24,completed
9,62,20,3,2025-10-22,completed
10,188,6,1,2026-06-12,completed
11,33,50,5,2025-09-30,completed
12,68,11,5,2026-04-26,completed
13,139,14,4,2026-07-02,pending
14,80,46,2,2026-08-14,completed
15,133,29,3,2026-08-04,completed
16,87,5,2,2025-12-30,completed
17,57,38,2,2026-06-05,completed
18,18,15,1,2026-08-23,cancelled
19,61,33,1,2026-02-11,completed
20,34,35,2,2026-05-01,completed
21,63,31,5,2026-06-14,pending
22,25,7,2,2026-03-22,completed
23,120,27,4,2026-02-23,cancelled
24,104,4,1,2025-09-22,completed
25,49,13,2,2025-10-20,completed
26,72,12,4,2025-11-05,completed
27,26,36,4,2025-10-03,completed
28,193,6,1,2026-05-29,pending
29,124,32,4,2025-11-19,completed
30,98,11,1,2026-03-19,completed
31,74,30,3,2026-03-13,completed
32,49,10,4,2026-06-06,completed
33,139,48,5,2025-09-24,completed
34,150,4,1,2026-02-02,completed
35,131,4,2,2026-05-24,completed
36,18,39,1,2025-11-29,completed
37,146,8,4,2025-12-24,completed
38,21,40,1,2026-06-26,completed
39,81,34,5,2026-06-20,cancelled
40,68,16,3,2025-12-08,completed
41,81,30,3,2026-08-04,cancelled
42,160,30,1,2025-10-02,returned
43,55,35,1,2025-10-16,completed
44,63,5,3,2025-11-01,completed
45,181,35,4,2025-11-14,completed
46,171,1,5,2026-07-26,pending
47,68,9,1,2026-01-26,completed
48,70,10,5,2025-10-19,completed
49,176,14,3,2025-12-11,completed
50,65,32,5,2026-01-08,cancelled
51,109,41,1,2025-09-21,pending
52,198,22,1,2025-09-17,completed
53,114,48,2,2026-01-07,completed
54,29,1,5,2026-04-01,completed
55,10,35,2,2026-08-14,pending
56,111,10,5,2026-06-20,completed
57,92,3,3,2026-01-30,completed
58,200,23,1,2025-12-31,completed
59,40,48,5,2026-03-22,cancelled
60,106,12,2,2025-12-25,completed
61,189,43,4,2026-02-12,pending
62,28,45,2,2026-01-09,completed
63,52,15,4,2025-09-14,pending
64,59,20,3,2026-04-18,completed
65,85,26,2,2026-07-29,completed
66,165,23,3,2025-09-30,completed
67,8,22,5,2026-08-08,completed
68,68,38,2,2026-01-06,completed
69,187,23,4,2026-06-27,pending
70,30,33,5,2026-04-06,completed
71,12,17,2,2026-06-17,completed
72,176,35,5,2025-08-26,completed
73,111,24,2,2026-08-04,completed
74,81,40,3,2026-08-01,completed
75,80,33,3,2025-10-28,completed
76,76,45,4,2026-02-09,completed
77,98,43,4,2025-12-02,completed
78,78,37,5,2025-11-23,completed
79,54,19,3,2025-08-26,completed
80,83,42,5,2026-06-18,completed
81,122,33,2,2026-04-09,pending
82,132,19,1,2025-11-20,completed
83,193,6,3,2026-07-09,completed
84,38,13,2,2026-01-31,completed
85,197,40,4,2025-12-29,completed
86,184,13,5,2026-03-26,completed
87,38,16,4,2026-05-06,completed
88,109,50,1,2025-08-28,completed
89,13,30,5,2026-08-17,completed
90,119,9,4,2025-10-27,completed
91,194,21,5,2026-06-08,cancelled
92,141,28,5,2026-07-05,completed
93,67,29,4,2025-11-15,pending
94,200,50,3,2026-07-18,completed
95,113,18,2,2026-07-12,completed
